index,year,areakm,municipality,geocode_ibge,deforestation_increment(areakm),state,gdp,gdp_per_capita
0,2008,1029.568595,Acrelandia,1200013,23.66708651,Acre,88512.133,7384.01
1,2009,1042.506828,Acrelandia,1200013,12.93823347,Acre,94179.964,7693.81
2,2010,1053.838906,Acrelandia,1200013,11.33207791,Acre,121914.728,9723.62
3,2011,1069.777544,Acrelandia,1200013,15.93863757,Acre,142760.793,11171.52
4,2012,1073.942261,Acrelandia,1200013,4.164717505,Acre,162198.825,12466.28
5,2013,1083.417818,Acrelandia,1200013,9.475556251,Acre,214652.031,16075.19
6,2014,1102.31459,Acrelandia,1200013,18.89677268,Acre,207821.757,15266.42
7,2015,1117.076392,Acrelandia,1200013,14.76180228,Acre,212961.188,15355.19
8,2016,1140.882083,Acrelandia,1200013,23.80569058,Acre,239609.967,16969.54
9,2017,1146.592988,Acrelandia,1200013,5.710904951,Acre,229643.528,15985.21
10,2018,1168.37741,Acrelandia,1200013,21.784422,Acre,253137.88,16853.39
11,2019,1188.265357,Acrelandia,1200013,19.88794714,Acre,253152.074,16593.61
12,2020,1201.202913,Acrelandia,1200013,12.93755576,Acre,302444.572,19525.15
13,2021,1239.468225,Acrelandia,1200013,38.2653123,Acre,310119.4738,20412.24577
14,2022,1257.97085,Acrelandia,1200013,18.5026251,Acre,326697.0971,21338.57824
16,2008,238.3622482,Assis Brasil,1200054,3.419526435,Acre,33614.179,6046.8
17,2009,239.9629472,Assis Brasil,1200054,1.600698997,Acre,35411.794,6254.29
18,2010,243.7367217,Assis Brasil,1200054,3.773774518,Acre,42017.446,6916.45
19,2011,246.5561055,Assis Brasil,1200054,2.819383797,Acre,46580.849,7522.75
20,2012,248.9548551,Assis Brasil,1200054,2.398749568,Acre,52805.468,8371.19
21,2013,253.758633,Assis Brasil,1200054,4.803777966,Acre,64601.577,9969.38
22,2014,261.4341013,Assis Brasil,1200054,7.675468221,Acre,73332.349,11094.15
23,2015,267.3733798,Assis Brasil,1200054,5.939278573,Acre,77234.378,11462.51
24,2016,270.2673296,Assis Brasil,1200054,2.893949749,Acre,85321.5,12432.1
25,2017,276.6585871,Assis Brasil,1200054,6.391257472,Acre,91742.513,13132.34
26,2018,284.5844524,Assis Brasil,1200054,7.925865348,Acre,89874.821,12311.62
27,2019,305.7283412,Assis Brasil,1200054,21.14388883,Acre,92705.198,12499.02
28,2020,323.9031509,Assis Brasil,1200054,18.17480965,Acre,96920.325,12864.39
29,2021,341.5530147,Assis Brasil,1200054,17.64986377,Acre,109046.4633,14688.75269
30,2022,347.4494099,Assis Brasil,1200054,5.89639528,Acre,114930.4373,15348.93725
32,2008,1215.813209,Brasileia,1200104,12.6633827,Acre,135315.628,6824.13
33,2009,1224.030774,Brasileia,1200104,8.217565015,Acre,159563.855,7884.37
34,2010,1235.985785,Brasileia,1200104,11.95501053,Acre,190698.905,8895.37
35,2011,1250.50481,Brasileia,1200104,14.51902502,Acre,203478.794,9318.07
36,2012,1263.392876,Brasileia,1200104,12.88806606,Acre,238704.357,10722.98
37,2013,1280.587135,Brasileia,1200104,17.19425874,Acre,294874.249,12877.17
38,2014,1314.011114,Brasileia,1200104,33.42397911,Acre,340917.293,14582.83
39,2015,1336.071478,Brasileia,1200104,22.06036419,Acre,388113.503,16273.79
40,2016,1353.785923,Brasileia,1200104,17.714445,Acre,388520.916,15981.28
41,2017,1376.912525,Brasileia,1200104,23.12660225,Acre,388018.337,15668.01
42,2018,1397.999662,Brasileia,1200104,21.08713643,Acre,439547.453,17005.09
43,2019,1456.610319,Brasileia,1200104,58.61065735,Acre,454008.757,17277.14
44,2020,1496.731387,Brasileia,1200104,40.12106795,Acre,480141.671,17981.49
45,2021,1557.930224,Brasileia,1200104,61.19883739,Acre,526418.2076,20072.82192
46,2022,1580.943572,Brasileia,1200104,23.01334777,Acre,556544.9436,21058.04132
48,2008,1132.728016,Bujari,1200138,15.77207995,Acre,58875.891,8728.82
49,2009,1140.349253,Bujari,1200138,7.62123702,Acre,61524.614,9085.15
50,2010,1148.60934,Bujari,1200138,8.260086475,Acre,86264.957,10179.96
51,2011,1158.175508,Bujari,1200138,9.566167963,Acre,102702.423,11902.01
52,2012,1168.282315,Bujari,1200138,10.10680741,Acre,107913.953,12288.08
53,2013,1176.657192,Bujari,1200138,8.374876486,Acre,120210.1,13352.23
54,2014,1185.642207,Bujari,1200138,8.985015685,Acre,129894.66,14160.54
55,2015,1194.999181,Bujari,1200138,9.356973416,Acre,147867.687,15833.35
56,2016,1212.286185,Bujari,1200138,17.28700459,Acre,159695.867,16804.78
57,2017,1219.916083,Bujari,1200138,7.629898078,Acre,158301.257,16380.51
58,2018,1233.628477,Bujari,1200138,13.71239319,Acre,158190.666,15645.4
59,2019,1259.683075,Bujari,1200138,26.05459833,Acre,159100.003,15497.76
60,2020,1277.334581,Bujari,1200138,17.65150598,Acre,183817.593,17640.84
61,2021,1303.134627,Bujari,1200138,25.80004563,Acre,195844.8943,18744.06962
62,2022,1340.344969,Bujari,1200138,37.21034201,Acre,205862.74,19471.25066
64,2008,812.5568119,Capixaba,1200179,8.829852107,Acre,62789.796,7057.41
65,2009,816.3439379,Capixaba,1200179,3.787125957,Acre,73182.926,7880.15
66,2010,820.0924923,Capixaba,1200179,3.748554357,Acre,108531.092,12319.08
67,2011,829.5493965,Capixaba,1200179,9.456904232,Acre,116148.746,12780.45
68,2012,844.6618035,Capixaba,1200179,15.11240704,Acre,129648.559,13839.51
69,2013,850.4196611,Capixaba,1200179,5.757857578,Acre,158799.772,16144.75
70,2014,860.0380315,Capixaba,1200179,9.618370413,Acre,149067.266,14657.55
71,2015,866.1232143,Capixaba,1200179,6.085182787,Acre,160133.602,15253.72
72,2016,882.7691476,Capixaba,1200179,16.64593327,Acre,177480.418,16403
73,2017,894.3411517,Capixaba,1200179,11.57200417,Acre,170990.13,15354.72
74,2018,904.6083811,Capixaba,1200179,10.2672294,Acre,164238.307,14336.44
75,2019,932.3766796,Capixaba,1200179,27.76829846,Acre,152806.177,13023.62
76,2020,951.1775673,Capixaba,1200179,18.80088769,Acre,145317.747,12101.74
77,2021,980.5730979,Capixaba,1200179,29.39553061,Acre,189073.2153,16089.06962
78,2022,1012.550398,Capixaba,1200179,31.97729972,Acre,196642.6357,16506.71538
80,2008,928.4086923,Cruzeiro do Sul,1200203,11.02472999,Acre,598082.655,7829.13
81,2009,932.6533123,Cruzeiro do Sul,1200203,4.24461999,Acre,681822.009,8854.37
82,2010,954.837996,Cruzeiro do Sul,1200203,22.18468367,Acre,771040.223,9829.18
83,2011,967.5291298,Cruzeiro do Sul,1200203,12.69113383,Acre,758483.344,9579.95
84,2012,976.9874202,Cruzeiro do Sul,1200203,9.458290394,Acre,838656.593,10506.98
85,2013,982.4624696,Cruzeiro do Sul,1200203,5.47504946,Acre,969784.2,12065.44
86,2014,993.1117008,Cruzeiro do Sul,1200203,10.64923114,Acre,1150664.391,14213.98
87,2015,996.546114,Cruzeiro do Sul,1200203,3.434413195,Acre,1060535.994,13009.68
88,2016,1005.809149,Cruzeiro do Sul,1200203,9.263035266,Acre,1223339.766,14905.14
89,2017,1015.257344,Cruzeiro do Sul,1200203,9.448194558,Acre,1287867.305,15587.46
90,2018,1033.319381,Cruzeiro do Sul,1200203,18.06203683,Acre,1401490.007,15985.42
91,2019,1058.531584,Cruzeiro do Sul,1200203,25.21220374,Acre,1439759.839,16291.3
92,2020,1100.999595,Cruzeiro do Sul,1200203,42.46801078,Acre,1516380.786,17024.21
93,2021,1134.568686,Cruzeiro do Sul,1200203,33.56909102,Acre,1602513.897,18311.83308
94,2022,1176.570246,Cruzeiro do Sul,1200203,42.0015598,Acre,1680918.002,19107.12527
96,2008,789.7339643,Epitaciolandia,1200252,4.337023082,Acre,128587.676,9211.15
97,2009,793.9496224,Epitaciolandia,1200252,4.215658157,Acre,134227.732,9436.71
98,2010,797.7016822,Epitaciolandia,1200252,3.752059736,Acre,144997.034,9585.95
