year,areakm,state,region
2004,661.35,Mato Grosso do Sul,pantanal
2003,661.35,Mato Grosso do Sul,pantanal
2002,661.35,Mato Grosso do Sul,pantanal
2001,661.35,Mato Grosso do Sul,pantanal
2006,634.51,Mato Grosso do Sul,pantanal
2005,634.51,Mato Grosso do Sul,pantanal
2021,747.65,Mato Grosso do Sul,pantanal
2017,482.43,Mato Grosso do Sul,pantanal
2020,564.7,Mato Grosso do Sul,pantanal
2010,505.39,Mato Grosso do Sul,pantanal
2009,505.39,Mato Grosso do Sul,pantanal
2015,399.35,Mato Grosso do Sul,pantanal
2016,399.35,Mato Grosso do Sul,pantanal
2007,371.52,Mato Grosso do Sul,pantanal
2008,371.52,Mato Grosso do Sul,pantanal
2019,395.32,Mato Grosso do Sul,pantanal
2011,374.63,Mato Grosso do Sul,pantanal
2018,304.39,Mato Grosso do Sul,pantanal
2013,299.85,Mato Grosso do Sul,pantanal
2012,299.85,Mato Grosso do Sul,pantanal
2014,238.13,Mato Grosso do Sul,pantanal
2004,338.71,Mato Grosso,pantanal
2003,338.71,Mato Grosso,pantanal
2002,338.71,Mato Grosso,pantanal
2001,338.71,Mato Grosso,pantanal
2006,211.45,Mato Grosso,pantanal
2005,211.45,Mato Grosso,pantanal
2021,76.82,Mato Grosso,pantanal
2017,229.17,Mato Grosso,pantanal
2020,113.16,Mato Grosso,pantanal
2010,159.5,Mato Grosso,pantanal
2009,159.5,Mato Grosso,pantanal
2015,219.56,Mato Grosso,pantanal
2016,219.56,Mato Grosso,pantanal
2007,146.94,Mato Grosso,pantanal
2008,146.94,Mato Grosso,pantanal
2019,119.16,Mato Grosso,pantanal
2011,135.76,Mato Grosso,pantanal
2018,194.12,Mato Grosso,pantanal
2013,129.98,Mato Grosso,pantanal
2012,129.98,Mato Grosso,pantanal
2014,131.6,Mato Grosso,pantanal
2003,"3,094.82",Tocantins,cerrado
2004,"3,094.82",Tocantins,cerrado
2001,"2,929.05",Tocantins,cerrado
2002,"2,929.05",Tocantins,cerrado
2006,"2,641.07",Tocantins,cerrado
2005,"2,641.07",Tocantins,cerrado
2013,"2,880.87",Tocantins,cerrado
2008,"1,829.64",Tocantins,cerrado
2007,"1,829.64",Tocantins,cerrado
2015,"3,081.68",Tocantins,cerrado
2014,"2,271.68",Tocantins,cerrado
2022,"2,127.33",Tocantins,cerrado
2010,"1,834.26",Tocantins,cerrado
2009,"1,834.26",Tocantins,cerrado
2012,"1,749.29",Tocantins,cerrado
2011,"1,749.29",Tocantins,cerrado
2021,"1,711.30",Tocantins,cerrado
2020,"1,584.37",Tocantins,cerrado
2016,"1,637.81",Tocantins,cerrado
2018,"1,587.00",Tocantins,cerrado
2017,"1,721.67",Tocantins,cerrado
2019,"1,533.36",Tocantins,cerrado
2003,"6,207.45",Goiás,cerrado
2004,"6,207.45",Goiás,cerrado
